Title,Date,Favourites,Comments,Views,Link
Stalker - TD Comic,2018,61,8,1000,https://www.deviantart.com/gordon003/art/Stalker-TD-Comic-767322475
Dawn TimberWolves NBA 2K19 Card,2018,134,9,1000,https://www.deviantart.com/gordon003/art/Dawn-TimberWolves-NBA-2K19-Card-766025855
Carrie Magic NBA2K19 Card,2018,64,6,692,https://www.deviantart.com/gordon003/art/Carrie-Magic-NBA2K19-Card-765993552
Samey Jazz NBA2K19 Card,2018,87,7,1000,https://www.deviantart.com/gordon003/art/Samey-Jazz-NBA2K19-Card-765993282
TD Beach Pose (Commission),2018,159,17,3000,https://www.deviantart.com/gordon003/art/TD-Beach-Pose-Commission-765896178
My TD NBA Starting 5 lineup,2018,28,6,366,https://www.deviantart.com/gordon003/art/My-TD-NBA-Starting-5-lineup-762968003
Courtney Cavaliers NBA2K18 Card,2018,111,15,1000,https://www.deviantart.com/gordon003/art/Courtney-Cavaliers-NBA2K18-Card-762966096
Kimberly OC (Commission),2018,39,9,364,https://www.deviantart.com/gordon003/art/Kimberly-OC-Commission-762635444
Jasmine Spurs NBA2K18 Card,2018,108,15,1000,https://www.deviantart.com/gordon003/art/Jasmine-Spurs-NBA2K18-Card-762415578
Dawn TimberWolves NBA 2K18 Card,2018,98,9,1000,https://www.deviantart.com/gordon003/art/Dawn-TimberWolves-NBA-2K18-Card-761953371
Katie SuperSonics NBA 2K18 Card,2018,101,8,1000,https://www.deviantart.com/gordon003/art/Katie-SuperSonics-NBA-2K18-Card-761803565
Izzy Celtic NBA 2K18 Card (Art Trade),2018,127,18,1000,https://www.deviantart.com/gordon003/art/Izzy-Celtic-NBA-2K18-Card-Art-Trade-761663306
Dawn sleeping in hotel (Commission),2018,74,11,1000,https://www.deviantart.com/gordon003/art/Dawn-sleeping-in-hotel-Commission-761064018
Emma + Carrie Sunset Drive (Commission),2018,83,12,1000,https://www.deviantart.com/gordon003/art/Emma-Carrie-Sunset-Drive-Commission-755504515
My Top 10 Hottest TD Girls,2018,30,9,931,https://www.deviantart.com/gordon003/art/My-Top-10-Hottest-TD-Girls-754781327
Fear Factor Challenge 2 (Commission),2018,59,27,1000,https://www.deviantart.com/gordon003/art/Fear-Factor-Challenge-2-Commission-754780370
Lindsay + Dawn falling while sleeping (Commission),2018,84,19,1000,https://www.deviantart.com/gordon003/art/Lindsay-Dawn-falling-while-sleeping-Commission-754138685
TDROTI Beach Babes,2018,193,15,4000,https://www.deviantart.com/gordon003/art/TDROTI-Beach-Babes-753336982
Sleeping Zoey (Vector),2018,170,7,5000,https://www.deviantart.com/gordon003/art/Sleeping-Zoey-Vector-753193769
Gordon003 Commission Info (Updated),2018,56,41,1000,https://www.deviantart.com/gordon003/art/Gordon003-Commission-Info-Updated-753028391
TDI Beach Babes (Sequel),2018,342,18,9000,https://www.deviantart.com/gordon003/art/TDI-Beach-Babes-Sequel-752879207
Carrie Driving (Commission),2018,65,17,1000,https://www.deviantart.com/gordon003/art/Carrie-Driving-Commission-752227897
Mazda MX-5 Miata RF (Vector),2018,19,2,335,https://www.deviantart.com/gordon003/art/Mazda-MX-5-Miata-RF-Vector-752195738
TD Iron Giant Coffee Scene (Commission),2018,48,11,928,https://www.deviantart.com/gordon003/art/TD-Iron-Giant-Coffee-Scene-Commission-751914550
Gordon V4,2018,26,6,192,https://www.deviantart.com/gordon003/art/Gordon-V4-751592246
Laurie Beach Day,2018,67,6,956,https://www.deviantart.com/gordon003/art/Laurie-Beach-Day-750816195
Zoey Beach Day (Commission),2018,106,12,1000,https://www.deviantart.com/gordon003/art/Zoey-Beach-Day-Commission-750302760
Carrie Bikini Back Pose (Vector),2018,139,11,3000,https://www.deviantart.com/gordon003/art/Carrie-Bikini-Back-Pose-Vector-749095999
Carrie Beach Pose (Commission),2018,123,15,2000,https://www.deviantart.com/gordon003/art/Carrie-Beach-Pose-Commission-749093395
TD Bugatti Veyron (Vector),2018,36,9,495,https://www.deviantart.com/gordon003/art/TD-Bugatti-Veyron-Vector-748635584
TD Chevrolet Silverado (Comm. + Vector),2018,29,3,445,https://www.deviantart.com/gordon003/art/TD-Chevrolet-Silverado-Comm-Vector-747988892
Gwen + Cameron Superhero at Night (Overdue comm),2018,110,27,2000,https://www.deviantart.com/gordon003/art/Gwen-Cameron-Superhero-at-Night-Overdue-comm-747831171
Ella Formal Dress (#8),2018,79,10,513,https://www.deviantart.com/gordon003/art/Ella-Formal-Dress-8-747781378
Heather Beach Photoshoot,2018,116,13,1000,https://www.deviantart.com/gordon003/art/Heather-Beach-Photoshoot-745492969
Sky 76ers - Trust the Process! (Vector),2018,92,13,1000,https://www.deviantart.com/gordon003/art/Sky-76ers-Trust-the-Process-Vector-743399655
Carrie Hot Pose (Vector),2018,121,18,2000,https://www.deviantart.com/gordon003/art/Carrie-Hot-Pose-Vector-742341984
Ana - Music Listener (OC),2018,32,7,227,https://www.deviantart.com/gordon003/art/Ana-Music-Listener-OC-742197244
