Title,Favourites,Comments, Link
TD Lamborghini Countach (Vector),29,5,https://www.deviantart.com/gordon003/art/TD-Lamborghini-Countach-Vector-772142046
Scared Lindsay (Commission),74,6,https://www.deviantart.com/gordon003/art/Scared-Lindsay-Commission-771199604
Damien + Jen (NSFW Commission),51,9,https://www.deviantart.com/gordon003/art/Damien-Jen-NSFW-Commission-770898576
Gwen as Elvira (Halloween Sequel),178,9,https://www.deviantart.com/gordon003/art/Gwen-as-Elvira-Halloween-Sequel-770627381
Goth Carrie (Commission),150,21,https://www.deviantart.com/gordon003/art/Goth-Carrie-Commission-770480793
TD Characters Display Car (Part 1),97,11,https://www.deviantart.com/gordon003/art/TD-Characters-Display-Car-Part-1-770171035
Carrie's Mazda MX-5 (Bikini),62,6,https://www.deviantart.com/gordon003/art/Carrie-s-Mazda-MX-5-Bikini-770047746
Carrie's Mazda MX-5 (Normal),41,3,https://www.deviantart.com/gordon003/art/Carrie-s-Mazda-MX-5-Normal-770047592
Taylor's Ferrari 458 (Bikini),76,9,https://www.deviantart.com/gordon003/art/Taylor-s-Ferrari-458-Bikini-769782205
Taylor's Ferrari 458 (Normal),40,4,https://www.deviantart.com/gordon003/art/Taylor-s-Ferrari-458-Normal-769782020
TD Ferrari 458 (Vector),21,5,https://www.deviantart.com/gordon003/art/TD-Ferrari-458-Vector-769711072
Stalker - TD Comic,61,8,https://www.deviantart.com/gordon003/art/Stalker-TD-Comic-767322475
Dawn TimberWolves NBA 2K19 Card,134,9,https://www.deviantart.com/gordon003/art/Dawn-TimberWolves-NBA-2K19-Card-766025855
Carrie Magic NBA2K19 Card,64,6,https://www.deviantart.com/gordon003/art/Carrie-Magic-NBA2K19-Card-765993552
Samey Jazz NBA2K19 Card,87,7,https://www.deviantart.com/gordon003/art/Samey-Jazz-NBA2K19-Card-765993282
TD Beach Pose (Commission),159,17,https://www.deviantart.com/gordon003/art/TD-Beach-Pose-Commission-765896178
My TD NBA Starting 5 lineup,28,6,https://www.deviantart.com/gordon003/art/My-TD-NBA-Starting-5-lineup-762968003
Courtney Cavaliers NBA2K18 Card,111,15,https://www.deviantart.com/gordon003/art/Courtney-Cavaliers-NBA2K18-Card-762966096
Kimberly OC (Commission),39,9,https://www.deviantart.com/gordon003/art/Kimberly-OC-Commission-762635444
Jasmine Spurs NBA2K18 Card,108,15,https://www.deviantart.com/gordon003/art/Jasmine-Spurs-NBA2K18-Card-762415578
Dawn TimberWolves NBA 2K18 Card,98,9,https://www.deviantart.com/gordon003/art/Dawn-TimberWolves-NBA-2K18-Card-761953371
Katie SuperSonics NBA 2K18 Card,101,8,https://www.deviantart.com/gordon003/art/Katie-SuperSonics-NBA-2K18-Card-761803565
Izzy Celtic NBA 2K18 Card (Art Trade),127,18,https://www.deviantart.com/gordon003/art/Izzy-Celtic-NBA-2K18-Card-Art-Trade-761663306
Dawn sleeping in hotel (Commission),74,11,https://www.deviantart.com/gordon003/art/Dawn-sleeping-in-hotel-Commission-761064018
Emma + Carrie Sunset Drive (Commission),83,12,https://www.deviantart.com/gordon003/art/Emma-Carrie-Sunset-Drive-Commission-755504515
My Response to a certain user,13,30,https://www.deviantart.com/gordon003/art/My-Response-to-a-certain-user-754941806
My Top 10 Hottest TD Girls,30,9,https://www.deviantart.com/gordon003/art/My-Top-10-Hottest-TD-Girls-754781327
Fear Factor Challenge 2 (Commission),59,30,https://www.deviantart.com/gordon003/art/Fear-Factor-Challenge-2-Commission-754780370
Lindsay + Dawn falling while sleeping (Commission),84,19,https://www.deviantart.com/gordon003/art/Lindsay-Dawn-falling-while-sleeping-Commission-754138685
TDROTI Beach Babes,193,15,https://www.deviantart.com/gordon003/art/TDROTI-Beach-Babes-753336982
Sleeping Zoey (Vector),170,7,https://www.deviantart.com/gordon003/art/Sleeping-Zoey-Vector-753193769
Gordon003 Commission Info (Updated),56,41,https://www.deviantart.com/gordon003/art/Gordon003-Commission-Info-Updated-753028391
TDI Beach Babes (Sequel),342,18,https://www.deviantart.com/gordon003/art/TDI-Beach-Babes-Sequel-752879207
Carrie Driving (Commission),65,17,https://www.deviantart.com/gordon003/art/Carrie-Driving-Commission-752227897
Mazda MX-5 Miata RF (Vector),19,2,https://www.deviantart.com/gordon003/art/Mazda-MX-5-Miata-RF-Vector-752195738
TD Iron Giant Coffee Scene (Commission),48,11,https://www.deviantart.com/gordon003/art/TD-Iron-Giant-Coffee-Scene-Commission-751914550
Gordon V4,26,6,https://www.deviantart.com/gordon003/art/Gordon-V4-751592246
Laurie Beach Day,67,6,https://www.deviantart.com/gordon003/art/Laurie-Beach-Day-750816195
Zoey Beach Day (Commission),106,13,https://www.deviantart.com/gordon003/art/Zoey-Beach-Day-Commission-750302760
Carrie Bikini Back Pose (Vector),139,11,https://www.deviantart.com/gordon003/art/Carrie-Bikini-Back-Pose-Vector-749095999
Carrie Beach Pose (Commission),123,15,https://www.deviantart.com/gordon003/art/Carrie-Beach-Pose-Commission-749093395
TD Bugatti Veyron (Vector),36,9,https://www.deviantart.com/gordon003/art/TD-Bugatti-Veyron-Vector-748635584
TD Chevrolet Silverado (Comm. + Vector),29,3,https://www.deviantart.com/gordon003/art/TD-Chevrolet-Silverado-Comm-Vector-747988892
Gwen + Cameron Superhero at Night (Overdue comm),110,27,https://www.deviantart.com/gordon003/art/Gwen-Cameron-Superhero-at-Night-Overdue-comm-747831171
Ella Formal Dress (#8),79,11,https://www.deviantart.com/gordon003/art/Ella-Formal-Dress-8-747781378
Heather Beach Photoshoot,116,13,https://www.deviantart.com/gordon003/art/Heather-Beach-Photoshoot-745492969
Sky 76ers - Trust the Process! (Vector),92,13,https://www.deviantart.com/gordon003/art/Sky-76ers-Trust-the-Process-Vector-743399655
Carrie Hot Pose (Vector),121,19,https://www.deviantart.com/gordon003/art/Carrie-Hot-Pose-Vector-742341984
Ana - Music Listener (OC),32,7,https://www.deviantart.com/gordon003/art/Ana-Music-Listener-OC-742197244
My Response to a certain user,24,20,https://www.deviantart.com/gordon003/art/My-Response-to-a-certain-user-739837459
Jen Bikini Night Out,118,10,https://www.deviantart.com/gordon003/art/Jen-Bikini-Night-Out-739094404
Jen Formal Night Out,92,9,https://www.deviantart.com/gordon003/art/Jen-Formal-Night-Out-739084976
Scarlett Chrsyler Turbine Car (Commission),45,5,https://www.deviantart.com/gordon003/art/Scarlett-Chrsyler-Turbine-Car-Commission-737790986
Kitty Sitting Pose (Vector),142,8,https://www.deviantart.com/gordon003/art/Kitty-Sitting-Pose-Vector-737790748
Dawn Sitting (Vector),156,7,https://www.deviantart.com/gordon003/art/Dawn-Sitting-Vector-737790587
Emily Sitting (Vector),64,6,https://www.deviantart.com/gordon003/art/Emily-Sitting-Vector-737790344
Emily Oldsmobile Cutlass 4-4-2 (Commission),44,6,https://www.deviantart.com/gordon003/art/Emily-Oldsmobile-Cutlass-4-4-2-Commission-736824509
TD Oldsmobile Cutlass 4-4-2 (Vector),16,5,https://www.deviantart.com/gordon003/art/TD-Oldsmobile-Cutlass-4-4-2-Vector-736688117
Devin BMW 4 Series Convertible (Commission),35,5,https://www.deviantart.com/gordon003/art/Devin-BMW-4-Series-Convertible-Commission-736069507
TD BMW 4 Series Convertible (Vector),24,2,https://www.deviantart.com/gordon003/art/TD-BMW-4-Series-Convertible-Vector-735899897
Dawn Delorean DMC-12 (Commission),91,12,https://www.deviantart.com/gordon003/art/Dawn-Delorean-DMC-12-Commission-733672870
Kitty Toyota 86,87,15,https://www.deviantart.com/gordon003/art/Kitty-Toyota-86-733512657
TD Toyota 86 (Vector),34,5,https://www.deviantart.com/gordon003/art/TD-Toyota-86-Vector-733359636
Dakota Lamborghini Huracan,122,17,https://www.deviantart.com/gordon003/art/Dakota-Lamborghini-Huracan-733058142
Beach Friend Drink (Commission),104,13,https://www.deviantart.com/gordon003/art/Beach-Friend-Drink-Commission-732905088
TD Lamborghini Huracan (Vector),33,7,https://www.deviantart.com/gordon003/art/TD-Lamborghini-Huracan-Vector-732375224
Andrea Martins OC 2 (Commission),33,12,https://www.deviantart.com/gordon003/art/Andrea-Martins-OC-2-Commission-732182244
TD Plymouth Fury (Comm. + Vector),41,8,https://www.deviantart.com/gordon003/art/TD-Plymouth-Fury-Comm-Vector-732063154
Heather vs Kitty (Commission),64,12,https://www.deviantart.com/gordon003/art/Heather-vs-Kitty-Commission-731719011
Dakota + Topher: I don't know what to do... (Comm),43,6,https://www.deviantart.com/gordon003/art/Dakota-Topher-I-don-t-know-what-to-do-Comm-731512230
CxD: You Belong to Me,92,30,https://www.deviantart.com/gordon003/art/CxD-You-Belong-to-Me-730483033
Courtney + Gwen Comedy Trouble (Commission),72,34,https://www.deviantart.com/gordon003/art/Courtney-Gwen-Comedy-Trouble-Commission-729964087
Devin + Trent Rap Group (Commission),48,15,https://www.deviantart.com/gordon003/art/Devin-Trent-Rap-Group-Commission-729490036
Contest Entry: Scottie,29,11,https://www.deviantart.com/gordon003/art/Contest-Entry-Scottie-726205701
